Wavelength (μm),Warm White 2200K,Warm White 3000K,Neutral White 4000K ,Cool White 5500K,Cool White 6500K,UVA (365 nm),Violet (385 nm),Violet (395 nm),Violet (405 nm),Deep Blue (436 nm),Royal Blue (453 nm),Dental Blue (460 nm),Cyan (500 nm),PC Lime,Green (517 nm),Amber (593 nm),PC Amber,Red (633 nm),Deep Red (660 nm),Far Red (740 nm),Infra Red (850 nm),Deep Infra Red (940 nm)
0.531,0.003780611,0.005702005,0.01047302,0.013979263,0.015050606,0.000141302,0.0001476,0.000137736,0.000194801,0.000138099,0.000170842,0.000435197,0.013980168,0.024666112,0.023513728,3.69E-05,0.000413234,5.76E-05,6.52E-05,8.01E-05,0,0
0.532,0.003869697,0.005774492,0.010646075,0.014163324,0.015192716,0.000128549,0.000109359,0.00018089,0.00016182,0.000145767,0.000197782,0.000431614,0.013031606,0.024809057,0.022750511,4.04E-05,0.00046823,4.24E-05,5.98E-05,8.05E-05,0,0
0.533,0.003984654,0.005859118,0.010776204,0.014268069,0.015242134,0.000128441,9.58E-05,0.000167335,0.00017975,0.000121721,0.000194472,0.000382997,0.012129503,0.024920606,0.021761791,4.97E-05,0.000496854,4.33E-05,4.58E-05,7.11E-05,0,0
0.534,0.004050236,0.005925933,0.010817289,0.014430732,0.015447755,0.000136061,0.000113746,9.45E-05,0.000206444,0.000130116,0.000196554,0.000331499,0.011312053,0.024982166,0.020901005,5.46E-05,0.000562296,5.06E-05,6.04E-05,9.13E-05,0,0
0.535,0.004110961,0.00600149,0.010955239,0.014480191,0.015468521,0.000148115,0.000156957,0.000154192,0.000143564,0.000131744,0.000168378,0.000345583,0.010309853,0.025065986,0.020174622,2.78E-05,0.000609123,3.28E-05,3.64E-05,5.19E-05,0,0
0.536,0.004245559,0.006127409,0.011047249,0.014513737,0.01556397,0.000154719,0.000140887,0.0001476,0.000107524,0.000130084,0.000159562,0.000329624,0.009665188,0.025119221,0.019334057,2.03E-05,0.000670624,6.34E-05,4.13E-05,5.45E-05,0,0
0.537,0.004295947,0.006133677,0.01121615,0.014553922,0.015501808,0.000126311,0.000123894,0.000109359,0.000135588,0.000130433,0.000148659,0.000315057,0.008994141,0.025148986,0.018445638,3.67E-05,0.00071186,5.61E-05,3.21E-05,6.13E-05,0,0
0.538,0.00443081,0.006282795,0.011230303,0.014689761,0.015658931,0.000125858,0.000123378,9.58E-05,0.000128013,0.000148277,0.000172718,0.000293761,0.008311931,0.025194166,0.017729489,3.81E-05,0.0007777,5.68E-05,3.33E-05,2.75E-05,0,0
0.539,0.004540761,0.006358032,0.011355743,0.014770106,0.015611643,0.000125886,0.00013338,0.000113746,0.000126933,0.000132619,0.000158966,0.000236143,0.007644768,0.025179403,0.016916587,6.54E-05,0.00083648,6.87E-05,4.61E-05,5.57E-05,0,0
0.54,0.004596565,0.006424321,0.011530983,0.014769913,0.015776245,0.00015537,0.000169141,0.000156957,0.000141129,0.000110142,0.000163909,0.000257634,0.007220195,0.025173175,0.016082132,8.31E-05,0.000918517,5.68E-05,2.56E-05,5.11E-05,0,0
